TimeDate,signal quality,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,lowgamma,mid gamma
13:13:55 12-12-2024,0,67,69,711,2196,5458,3148,5580,18326,9939,5084
13:13:56 12-12-2024,0,69,64,3449,20696,2964,13380,3791,19825,6864,2436
13:13:57 12-12-2024,0,69,64,6205,11594,17964,11732,18456,16956,8313,4743
13:13:58 12-12-2024,0,77,67,8497,8634,13599,5195,12044,14644,17815,3811
13:13:59 12-12-2024,0,57,61,18982,31003,3112,5443,5849,10505,5082,3428
13:14:00 12-12-2024,0,56,67,17451,4525,5551,9068,7838,7390,11853,1412
13:14:01 12-12-2024,0,64,60,19628,21860,15041,6852,8827,38384,10057,6331
13:14:02 12-12-2024,0,66,47,7812,10911,1421,3675,9266,11318,7052,7252
13:14:03 12-12-2024,0,70,53,29403,22223,12444,3221,5928,17661,4409,3592
13:14:04 12-12-2024,0,80,40,13524,8782,1612,5400,7318,13499,17111,6885
13:14:05 12-12-2024,0,77,37,21203,25815,10069,2896,4049,27651,12428,5179
13:14:06 12-12-2024,0,57,41,64573,70673,15253,3676,6728,9723,8786,4659
13:14:07 12-12-2024,0,60,34,511973,10669,739,3818,7687,7900,23546,8731
13:14:08 12-12-2024,0,54,27,22684,26608,1303,4892,3955,17326,15413,5613
13:14:09 12-12-2024,0,43,44,12059,15469,25411,22923,19974,12936,30307,4774
13:14:10 12-12-2024,0,44,60,17717,32398,37492,12223,8688,12681,13112,2142
13:14:11 12-12-2024,0,41,67,16783,28952,13605,9536,10802,17244,8599,5267
13:14:12 12-12-2024,0,29,83,42454,19912,14037,6072,7142,6817,10895,8216
13:14:13 12-12-2024,0,40,78,31609,18101,13929,11107,5158,21764,25171,2076
13:14:14 12-12-2024,0,57,69,8377,10582,10871,6071,5028,26458,5930,8019
13:14:15 12-12-2024,0,44,74,14110,33475,16887,10931,6227,5842,15212,3359
13:14:16 12-12-2024,0,50,66,26121,41541,4815,14553,4557,17246,11268,7492
13:14:17 12-12-2024,0,56,60,14262,12750,10653,4474,6167,28102,7841,9318
13:14:18 12-12-2024,0,50,57,10791,18457,4262,9616,8112,14500,15034,4368
13:14:19 12-12-2024,0,75,51,8712,10343,4823,7480,4644,25661,24435,5895
13:14:20 12-12-2024,0,74,64,10107,16542,29465,15346,8337,15506,11811,13104
13:14:21 12-12-2024,0,64,74,38461,6706,3770,10728,4538,8719,19243,2979
13:14:22 12-12-2024,0,66,80,2710,6847,2856,16619,12094,13151,3759,10612
13:14:23 12-12-2024,0,57,83,4018,16643,7449,11413,6888,18777,9170,5965
13:14:24 12-12-2024,0,57,67,25256,50214,12132,5789,5525,17217,16040,4433
13:14:25 12-12-2024,0,61,54,5915,17261,2218,8916,10942,17881,27158,5110
13:14:26 12-12-2024,0,74,48,4413,7084,5064,6661,5374,27768,8322,5787
13:14:27 12-12-2024,0,83,40,1899,9676,4860,3079,4641,29214,24793,5334
13:14:28 12-12-2024,0,77,47,189591,106306,62685,4027,10122,20347,8455,3319
13:14:29 12-12-2024,0,74,53,58486,36742,4668,25557,5241,31828,27014,6414
13:14:30 12-12-2024,0,77,43,3727,9943,842,6150,8971,37420,19017,9681
13:14:31 12-12-2024,0,57,56,12143,34000,24055,17936,10571,20659,19519,10036
13:14:32 12-12-2024,0,70,60,63364,15317,30457,6447,15553,20282,5654,3063
13:14:33 12-12-2024,0,61,63,44962,43289,32037,5171,11410,13921,10980,9105
13:14:34 12-12-2024,0,30,69,69923,79873,10871,10556,8014,11955,11926,3793
13:14:35 12-12-2024,0,41,64,14149,7510,1712,11700,10510,14725,11407,8127
13:14:36 12-12-2024,0,48,54,2702,15469,3158,9556,6534,20454,4275,8690
13:14:37 12-12-2024,0,66,54,5244,2653,8952,3573,3781,18061,5973,9159
13:14:38 12-12-2024,0,87,56,7436,21207,11114,2574,9637,29571,41278,2131
13:14:39 12-12-2024,0,64,48,255324,255597,37765,22571,15311,26218,17323,10707
13:14:40 12-12-2024,0,53,47,104040,30137,5411,6657,4101,8455,11067,12352
13:14:41 12-12-2024,0,51,34,3876,18677,3025,6217,8398,30318,5795,9682
13:14:42 12-12-2024,0,35,35,19194,41563,12559,4445,12380,9639,10660,6221
13:14:43 12-12-2024,0,44,47,8099,26910,19766,6397,4396,10780,5958,1898
13:14:44 12-12-2024,0,37,54,20445,38385,21806,5749,3048,7035,13779,5529
13:14:45 12-12-2024,0,34,60,8853,11605,1555,6227,6707,14171,9673,2146
13:14:46 12-12-2024,0,41,67,13967,10250,10177,2173,1997,9352,6164,6354
13:14:47 12-12-2024,0,41,60,6761,33236,2410,10724,6952,8578,10305,5430
13:14:48 12-12-2024,0,56,47,10917,29176,708,7151,4816,15956,6636,6080
13:14:49 12-12-2024,0,34,54,31381,82167,28363,24907,8527,9292,8145,2446
13:14:50 12-12-2024,0,27,53,2202,11500,2089,10218,8119,5954,8120,5684
13:14:51 12-12-2024,0,29,64,10275,10434,4644,18379,7958,8823,4271,3381
13:14:52 12-12-2024,0,34,80,5854,8760,11090,9533,5197,17649,5406,17479
13:14:53 12-12-2024,0,53,80,16446,13985,11499,7484,3383,17085,12381,6177
13:14:54 12-12-2024,0,66,78,16108,6898,2521,9775,3998,17397,11139,2353
13:14:55 12-12-2024,0,81,63,2381,11545,4900,4871,6531,21035,20937,7666
13:14:56 12-12-2024,0,81,57,25455,14004,10631,6151,8820,18456,15536,3453
13:14:57 12-12-2024,0,83,53,17193,14308,6544,10491,15486,22016,14614,6037
13:14:58 12-12-2024,0,69,51,602083,112489,35104,29262,5895,43062,33212,3786
13:14:59 12-12-2024,0,64,56,112622,15830,1236,16127,6386,23777,30648,7821
13:15:00 12-12-2024,0,70,61,16485,3843,9344,22603,7909,38342,10090,3399
13:15:01 12-12-2024,0,77,54,3229,13351,674,9003,13119,23850,22178,4447
13:15:02 12-12-2024,0,74,48,55116,38295,8127,4544,6193,9796,13087,9260
13:15:03 12-12-2024,0,66,56,4696,5679,8556,8801,8750,7253,23851,4366
13:15:04 12-12-2024,0,57,54,11895,16422,5544,18058,4193,17675,9362,3697
13:15:05 12-12-2024,0,51,67,22726,15358,15703,9475,5258,19635,11298,2372
13:15:06 12-12-2024,0,66,69,3873,11148,3875,6255,11942,17734,11696,6175
13:15:07 12-12-2024,0,75,56,20420,11678,3272,2970,2104,13782,10260,3311
13:15:08 12-12-2024,0,66,50,14784,42150,15792,14383,28995,14997,4896,8678
13:15:09 12-12-2024,0,60,44,78164,8347,3412,2012,2034,3797,4840,1664
13:15:10 12-12-2024,0,44,30,477175,103984,4403,5029,9192,18621,5021,5275
13:15:11 12-12-2024,0,30,40,40245,44050,21247,12537,5281,15673,14549,2235
13:15:12 12-12-2024,0,47,34,13171,12669,2075,5370,9260,16518,8359,1632
13:15:13 12-12-2024,0,38,35,48252,43186,9612,17073,10404,8136,6836,2290
13:15:14 12-12-2024,0,38,56,403789,41115,9237,22484,5895,13015,15945,2416
13:15:15 12-12-2024,0,35,43,51526,75024,5046,10028,11939,13166,12965,1823
13:15:16 12-12-2024,0,27,54,16409,13894,12501,8507,4579,15715,16358,6067
13:15:17 12-12-2024,0,38,56,8295,29348,11120,17611,8519,20360,10793,2998
13:15:18 12-12-2024,0,50,51,6424,10445,1497,6628,3891,10583,7120,1828
13:15:19 12-12-2024,0,51,66,97883,8266,7842,1348,1767,3555,528,889
13:15:20 12-12-2024,0,47,56,15443,32176,5044,6746,7863,11839,6899,1590
13:15:21 12-12-2024,0,48,47,36952,30195,4649,5305,7220,14227,5168,3428
13:15:22 12-12-2024,0,24,51,42702,66929,34197,10357,12300,6543,13512,10064
13:15:23 12-12-2024,0,21,43,68206,15427,5224,1707,3965,2749,1028,1543
13:15:24 12-12-2024,0,30,43,4141,17151,2716,5817,6925,19987,5632,3598
13:15:25 12-12-2024,0,34,44,21029,12646,581,7802,16534,8961,12714,3538
13:15:26 12-12-2024,0,57,38,16636,19215,6381,6485,6972,26178,9807,2927
13:15:27 12-12-2024,0,74,38,14534,13107,6820,4147,4794,12684,6135,5888
13:15:28 12-12-2024,0,81,34,4081,11051,2616,4825,13720,32985,9312,2723
13:15:29 12-12-2024,0,80,43,29255,23483,14199,15262,14411,17529,16828,8656
13:15:30 12-12-2024,0,75,43,24624,35891,8136,7607,7902,21469,16242,2859
13:15:31 12-12-2024,0,81,44,11254,5035,4351,8879,2990,18706,21229,10038
13:15:32 12-12-2024,0,63,51,12871,27538,7597,4448,13543,12084,14553,13225
13:15:33 12-12-2024,0,60,54,18959,20534,29745,8794,14041,15992,5546,8445
13:15:34 12-12-2024,0,66,54,24856,11772,6279,3679,11666,16888,8362,2189
13:15:35 12-12-2024,0,60,60,6746,5606,14381,2480,7412,12197,8288,4891
13:15:36 12-12-2024,0,64,64,3581,9426,8567,1805,5490,9714,9953,2490
13:15:37 12-12-2024,0,78,56,2527,6637,5842,5564,13325,15941,11699,2027
13:15:38 12-12-2024,0,77,60,10306,9850,5496,13073,28270,18504,18880,11360
13:15:39 12-12-2024,0,69,53,43795,38797,12003,8732,6209,18244,10026,4967
13:15:40 12-12-2024,0,67,54,23082,16309,10301,18348,18975,16098,11218,6484
13:15:41 12-12-2024,0,67,50,18552,18227,5672,6871,14067,30254,6823,7422
13:15:42 12-12-2024,0,57,48,17513,30297,7281,8875,7223,14328,20830,5094
13:15:43 12-12-2024,0,70,50,10634,6527,5135,4658,4656,15976,15154,3400
13:15:44 12-12-2024,0,56,43,96058,98560,12287,25784,13701,14024,18556,7691
13:15:45 12-12-2024,0,56,48,18219,9117,8043,4138,4450,19641,5297,7047
13:15:46 12-12-2024,0,60,61,3656,7739,26666,3997,5219,14241,9641,4910
13:15:47 12-12-2024,0,43,51,29042,45991,5011,4449,10395,11383,21722,3621
13:15:48 12-12-2024,0,53,57,22766,19984,10207,12537,8403,10283,22202,8190
13:15:49 12-12-2024,0,48,66,1090,9481,3503,15226,6285,14582,12597,10534
13:15:50 12-12-2024,0,50,61,16425,9803,21300,11887,27835,17949,14067,5116
13:15:51 12-12-2024,0,60,66,83859,6404,3233,559,2445,6568,1577,434
13:15:53 12-12-2024,0,74,63,9467,4685,8542,12603,11820,30792,13955,11178
13:15:54 12-12-2024,0,69,70,4353,3802,13527,19480,12485,9365,15826,4489
13:15:55 12-12-2024,0,60,77,18869,35226,12442,9589,5415,14362,8048,5694
13:15:56 12-12-2024,0,56,83,33807,16403,30615,12881,8493,15248,14586,2574
13:15:57 12-12-2024,0,41,78,12334,19972,6530,4303,2532,11053,14886,1296
13:15:58 12-12-2024,0,47,57,17766,50823,10144,8589,8365,29182,10920,3123
13:15:59 12-12-2024,0,51,61,37783,22762,8650,14140,3522,19460,15981,4939
13:16:00 12-12-2024,0,57,50,6613,12612,8448,4638,9419,12164,12468,3266
13:16:01 12-12-2024,0,63,51,15690,27963,12538,11045,6524,27194,7455,2734
13:16:02 12-12-2024,0,57,43,661363,38347,3133,3967,11708,13087,4451,6577
13:16:03 12-12-2024,0,60,40,9030,13718,4598,8192,8412,14031,13643,2128
13:16:04 12-12-2024,0,51,23,124238,141506,7278,8402,13961,29210,7876,3618
13:16:05 12-12-2024,0,53,23,14951,23296,11139,6233,3279,23327,8002,13674
13:16:06 12-12-2024,0,60,38,2782,6925,2049,8106,6234,9839,11624,7609
13:16:07 12-12-2024,0,66,27,7079,9513,1070,4568,17022,15149,15944,1885
13:16:08 12-12-2024,0,78,41,562386,25039,6242,9097,7170,24831,8784,6391
13:16:09 12-12-2024,0,66,37,55267,46071,9689,8299,9432,11736,12698,3497
13:16:10 12-12-2024,0,63,47,23943,6463,12008,24050,11000,17183,10421,4739
13:16:11 12-12-2024,0,53,60,19636,27045,13032,11452,7832,16898,9821,2941
13:16:12 12-12-2024,0,57,60,18596,11955,5082,3117,3413,21463,10917,2631
13:16:13 12-12-2024,0,67,67,25470,16926,26608,6908,21358,23143,7431,4886
13:16:14 12-12-2024,0,74,54,12427,8329,4044,3249,7177,12238,13102,1596
13:16:15 12-12-2024,0,69,60,6298,15025,19950,6959,9830,11067,9925,3681
13:16:16 12-12-2024,0,78,51,3472,2046,1010,2469,9546,18833,9510,2794
13:16:17 12-12-2024,0,84,35,10277,11600,3155,1527,5747,17380,11001,3043
13:16:18 12-12-2024,0,77,35,9259,10317,5817,5038,19229,8437,7562,4492
13:16:19 12-12-2024,0,77,30,13437,41926,32826,6060,9439,19414,5547,3340
13:16:20 12-12-2024,0,53,48,8535,7198,6229,3409,6976,6116,5214,4012
13:16:21 12-12-2024,0,38,57,8833,17434,3763,9560,9543,7213,4372,1833
13:16:22 12-12-2024,0,41,66,20300,7440,6199,9158,8814,12370,19064,3910
13:16:23 12-12-2024,0,47,69,4970,4904,2902,12695,8497,9024,18103,4394
13:16:24 12-12-2024,0,53,67,14129,19274,17329,6853,7438,30351,28966,5102
13:16:25 12-12-2024,0,70,54,8418,13196,1295,4228,1896,31291,15658,10096
13:16:26 12-12-2024,0,63,61,130400,26923,46224,23215,25309,21399,21480,10698
13:16:27 12-12-2024,0,63,64,21602,6357,12172,23856,9347,17996,8451,3366
13:16:28 12-12-2024,0,53,63,13385,49718,15030,15522,18323,19801,11359,2107
13:16:29 12-12-2024,0,51,75,26474,3795,3626,4798,6070,15814,14358,6383
13:16:30 12-12-2024,0,44,66,342644,94200,31449,27427,19805,14460,13005,5507
13:16:31 12-12-2024,0,47,56,1390,14506,11152,3682,10215,15343,8349,4824
13:16:32 12-12-2024,0,54,53,2937,11221,5389,5832,10557,15229,11947,2081
13:16:33 12-12-2024,0,54,50,3692,7045,2433,7260,3263,24895,15052,8147
13:16:34 12-12-2024,0,66,50,461295,36501,23508,10644,14731,23411,9172,3170
13:16:35 12-12-2024,0,69,47,897867,38065,9537,9706,8580,34281,9474,7601
13:16:36 12-12-2024,0,70,53,2300,8089,4673,13745,5302,20591,12696,2921
13:16:37 12-12-2024,0,67,53,6847,13829,7926,7891,10805,29515,5348,3065
13:16:38 12-12-2024,0,67,53,11734,15244,12539,9763,15835,14293,4003,4594
13:16:39 12-12-2024,0,54,66,36775,24656,9607,29364,11783,9878,14438,2720
13:16:40 12-12-2024,0,44,56,57373,37076,4631,7438,11423,12388,2493,3206
13:16:41 12-12-2024,0,34,60,615161,16713,7859,9641,20522,9444,9381,6245
13:16:42 12-12-2024,0,44,53,3786,3990,1696,5269,9815,14236,12929,2260
13:16:43 12-12-2024,0,41,38,68243,20163,2653,3376,2054,2807,1495,993
13:16:44 12-12-2024,0,43,40,27805,47691,6913,10470,3045,24137,5859,5889
13:16:45 12-12-2024,0,57,27,10387,6912,1213,2821,12272,12328,4619,4451
13:16:46 12-12-2024,0,54,23,11157,13002,3921,2123,4338,16794,12132,6465
13:16:47 12-12-2024,0,75,27,2928,5518,5617,8308,9269,20041,6085,3909
13:16:48 12-12-2024,0,84,29,12070,8460,7158,3256,12847,19571,11860,1958
13:16:49 12-12-2024,0,83,41,7987,7141,10046,3235,7664,18184,27541,2319
13:16:50 12-12-2024,0,64,47,370523,110865,19487,14636,6940,19460,7195,7625
13:16:51 12-12-2024,0,61,43,4785,8281,5365,2799,7887,14183,14260,5783
13:16:52 12-12-2024,0,51,47,82556,18115,14900,5306,22820,13164,16041,8438
13:16:53 12-12-2024,0,37,54,26238,27161,14938,18753,7142,11530,11163,6480
13:16:54 12-12-2024,0,63,44,17663,12299,3722,3584,8748,42485,20919,7199
13:16:55 12-12-2024,0,56,48,11770,18665,5799,5771,6019,11522,19900,4415
13:16:56 12-12-2024,0,53,51,42200,37335,20053,9257,8102,14682,12456,1408
13:16:57 12-12-2024,0,60,48,4785,12520,3157,14592,6623,12452,13821,4404
13:16:58 12-12-2024,0,51,61,1039,12043,10731,9185,9830,29977,15296,9953
13:16:59 12-12-2024,0,47,63,125255,9100,6259,1170,3819,3977,2389,2922
13:17:00 12-12-2024,0,56,51,99172,4989,698,1953,5328,4912,4240,1343
13:17:01 12-12-2024,0,53,51,6742,42903,21778,17714,14769,22924,34635,4905
13:17:02 12-12-2024,0,29,48,334323,162736,29733,25371,14725,16175,28854,22509
13:17:03 12-12-2024,0,35,37,31394,34416,6460,1766,8109,17496,12288,4163
13:17:04 12-12-2024,0,43,41,3492,13765,8259,7821,5368,44463,12981,9562
13:17:05 12-12-2024,0,41,37,25765,25076,13849,8277,24766,11442,14291,11824
13:17:06 12-12-2024,0,56,48,32507,20169,23362,8825,5158,18946,11043,4373
13:17:07 12-12-2024,0,56,63,12728,21338,19057,11417,12447,16457,7834,4400
13:17:08 12-12-2024,0,44,63,6770,36210,9800,7724,8900,26366,16153,4750
13:17:09 12-12-2024,0,48,69,11336,20626,5779,29907,14324,17899,42856,9462
13:17:10 12-12-2024,0,57,51,3748,13277,4280,1571,7399,23623,14302,3440
13:17:11 12-12-2024,0,63,43,8038,28551,2536,18181,10154,32248,14069,4641
13:17:12 12-12-2024,0,60,54,6058,12398,5631,11019,7157,8364,8440,7793
13:17:13 12-12-2024,0,67,44,6651,4188,1754,2288,2291,6860,14681,3969
13:17:14 12-12-2024,0,54,64,9389,22955,15999,17292,3769,15602,5735,2647
13:17:15 12-12-2024,0,54,66,8449,14992,7675,10453,11870,23596,11276,5424
13:17:16 12-12-2024,0,57,61,8915,22837,4509,13369,4398,15316,8038,15550
13:17:17 12-12-2024,0,56,61,11620,13315,2483,11336,17229,18602,15386,2841
13:17:18 12-12-2024,0,57,61,10961,10200,4733,20805,7191,11746,22838,1516
13:17:19 12-12-2024,0,57,63,7717,13981,5145,8917,3742,16570,24579,688
13:17:20 12-12-2024,0,57,67,10921,13514,18736,6225,6002,15899,13778,4351
13:17:21 12-12-2024,0,57,78,7755,3406,18478,12174,12149,27782,7025,6128
13:17:22 12-12-2024,0,60,69,9807,27067,11590,9255,5762,15795,9060,3619
13:17:23 12-12-2024,0,60,74,45209,2181,2610,1369,675,4279,2721,1500
13:17:24 12-12-2024,0,61,61,48244,13603,2070,5171,6248,9753,5464,3159
13:17:25 12-12-2024,0,61,44,41129,16350,2201,4188,2413,20212,9317,7088
13:17:26 12-12-2024,0,64,53,3497,1823,14673,3812,5322,10113,29964,5781
13:17:27 12-12-2024,0,60,50,117621,14112,3193,5268,1875,8513,11901,3869
13:17:28 12-12-2024,0,54,56,105882,37093,19471,14706,16421,18970,22270,9018
13:17:29 12-12-2024,0,38,84,22143,11719,14792,38597,5705,9337,6789,3323
13:17:30 12-12-2024,0,34,78,24316,25639,23876,14087,14821,17748,4182,3357
13:17:31 12-12-2024,0,34,80,11828,16277,7066,15030,20635,13339,10413,4336
13:17:32 12-12-2024,0,38,88,28629,2648,22336,2381,6602,13576,11364,3301
13:17:33 12-12-2024,0,60,61,18917,4179,3202,2514,13015,14545,4797,1695
13:17:34 12-12-2024,0,57,69,2498,4358,13694,7112,4414,6042,3535,4720
13:17:35 12-12-2024,0,66,69,15886,10141,7993,3341,1853,17631,4039,1748
13:17:36 12-12-2024,0,74,51,5231,12723,3989,5062,4028,22854,8279,9597
13:17:37 12-12-2024,0,54,63,13897,27998,6721,14642,6578,10646,5032,2653
13:17:38 12-12-2024,0,69,43,5984,7496,3963,2870,6505,15621,15422,2036
13:17:39 12-12-2024,0,61,50,457291,23165,16869,21008,12930,17295,15477,4884
13:17:40 12-12-2024,0,47,54,67091,57185,18219,18275,22281,23099,8138,4617
13:17:41 12-12-2024,0,53,53,206441,56390,14471,26830,8966,33280,8124,3442
13:17:42 12-12-2024,0,37,61,25243,19208,13499,8088,19141,7997,16848,6130
13:17:43 12-12-2024,0,35,57,478834,19624,12121,9853,10272,10200,8525,8694
13:17:44 12-12-2024,0,47,53,3029,6094,3968,1891,5068,11723,7414,3076
13:17:45 12-12-2024,0,47,50,641559,18141,5848,4240,3121,10803,4807,4567
13:17:46 12-12-2024,0,54,41,5625,27146,2864,7111,5807,16413,5838,3680
13:17:47 12-12-2024,0,57,43,3876,9611,15431,11715,16870,13075,9519,3462
13:17:48 12-12-2024,0,40,61,20409,12637,12222,13062,4049,5311,10805,10063
13:17:49 12-12-2024,0,43,70,8255,6467,16074,8654,3926,20209,15641,3304
13:17:50 12-12-2024,0,37,84,34397,40244,44884,2799,12828,18691,8424,9951
13:17:51 12-12-2024,0,34,81,32102,24114,4395,16256,4685,11203,6643,3813
13:17:52 12-12-2024,0,38,84,5006,3837,15726,12625,6677,7489,13956,7891
13:17:53 12-12-2024,0,37,78,4419,18296,2436,14399,477,18302,26209,11906
13:17:54 12-12-2024,0,47,78,3590,10930,8503,15119,2846,21621,10119,3111
13:17:55 12-12-2024,0,63,67,6843,5456,3291,4253,5849,20252,10747,2565
13:17:56 12-12-2024,0,63,54,38966,34553,23397,10892,23675,15762,14500,10020
13:17:57 12-12-2024,0,80,41,2228,3237,1474,1788,4086,18503,5388,3450
13:17:58 12-12-2024,0,74,43,317172,31942,38499,14371,8448,26477,7034,2984
13:17:59 12-12-2024,0,70,44,3609,2320,499,4604,5208,9397,12078,2729
13:18:00 12-12-2024,0,75,38,28648,44881,8908,6632,3099,16764,5516,5574
13:18:01 12-12-2024,0,40,48,34339,66177,9520,15713,9882,7201,14238,4453
13:18:02 12-12-2024,0,44,41,15694,4878,10086,3504,17146,9843,6099,2952
13:18:03 12-12-2024,0,37,53,1815,5922,9370,10066,6392,13511,6881,10558
13:18:04 12-12-2024,0,41,51,8918,26205,4740,5539,5635,15374,16615,4659
13:18:05 12-12-2024,0,51,69,13839,5486,11763,28704,8434,12778,7221,7668
13:18:06 12-12-2024,0,41,75,17533,36773,17110,16136,2952,10489,8253,3218
13:18:07 12-12-2024,0,48,57,2466,11716,2717,3660,3446,24525,17339,6007
13:18:08 12-12-2024,0,50,63,7205,10855,3144,6220,7284,10466,7240,3457
13:18:09 12-12-2024,0,60,48,94900,2444,1444,2678,4078,5081,3988,968
13:18:10 12-12-2024,0,75,29,9518,26255,6045,1495,5436,28283,10402,2675
13:18:11 12-12-2024,0,75,38,10579,4278,3723,6480,5497,17988,17088,4740
13:18:12 12-12-2024,0,75,41,20068,14407,8179,8324,4082,18058,18230,5188
13:18:13 12-12-2024,0,74,21,400006,55636,2835,3333,17274,40683,14586,6273
13:18:14 12-12-2024,0,77,27,8740,8748,3195,4777,2971,23717,13431,1470
13:18:16 12-12-2024,0,54,37,28506,25322,18047,14180,11330,17680,23578,5648
13:18:17 12-12-2024,0,61,57,14670,7683,11002,7985,6904,28930,10138,3822
13:18:18 12-12-2024,0,50,67,18876,13885,3827,20921,18085,13629,18228,5481
13:18:19 12-12-2024,0,63,66,5903,2657,7539,3570,3118,11533,6772,6479
13:18:20 12-12-2024,0,69,74,1227,3628,9814,15024,3439,17264,10476,5537
13:18:21 12-12-2024,0,54,81,6597,9310,3771,19683,9110,7416,6448,1482
13:18:22 12-12-2024,0,56,88,28279,15577,19874,12915,5483,19429,7955,4268
13:18:23 12-12-2024,0,47,87,22151,39436,17853,20856,10791,23760,15235,6021
13:18:24 12-12-2024,0,50,78,3364,4310,6678,12192,9576,20756,10232,4352
13:18:25 12-12-2024,0,60,69,11156,11342,9675,6125,6109,17027,18323,7513
13:18:26 12-12-2024,0,67,56,5670,6245,8673,2793,18618,20296,7922,5460
13:18:27 12-12-2024,0,74,47,10548,10137,3908,2199,7024,7669,16824,7666
13:18:28 12-12-2024,0,69,47,7351,9351,6249,7363,4240,14551,17919,2346
13:18:29 12-12-2024,0,69,50,3628,9659,4396,16593,3721,18511,6454,5762
13:18:30 12-12-2024,0,64,44,3510,31190,5154,5705,7869,29276,23997,3677
13:18:31 12-12-2024,0,54,56,11152,33949,25216,10504,7290,11182,10280,5509
13:18:32 12-12-2024,0,48,53,111137,61306,14156,20402,9507,27614,19707,3020
13:18:33 12-12-2024,0,48,47,10388,9128,5920,3510,4884,13312,24134,2505
13:18:34 12-12-2024,0,41,51,5902,25188,2971,5631,3370,12452,11700,7464
13:18:35 12-12-2024,0,64,41,19376,5319,3175,10617,4400,35334,12527,6131
13:18:36 12-12-2024,0,67,40,93430,8072,3317,454,893,4188,3100,1046
13:18:37 12-12-2024,0,64,44,18530,20264,15940,11344,6122,26016,10441,2178
13:18:38 12-12-2024,0,66,50,30021,28443,11377,14837,17314,23989,5589,3022
13:18:39 12-12-2024,0,47,63,55711,38991,47712,19804,5395,23793,10165,6660
13:18:40 12-12-2024,0,44,66,7538,33347,7846,10809,4707,14891,16308,6973
13:18:41 12-12-2024,0,53,61,46133,6266,5488,19673,9667,53103,10368,6235
13:18:42 12-12-2024,0,44,67,30466,19321,12622,11254,8436,6662,6432,3793
13:18:43 12-12-2024,0,48,50,98883,20451,2903,5306,14517,7538,6548,8759
13:18:44 12-12-2024,0,53,57,12762,3047,11626,6052,5595,12489,4245,1621
13:18:45 12-12-2024,0,35,64,35917,29169,14001,19250,11027,13897,7588,3379
13:18:46 12-12-2024,0,56,54,19699,3468,9482,1850,19307,24395,2768,2217
13:18:47 12-12-2024,0,74,57,3851,3262,2532,3540,1818,16932,7210,1938
13:18:48 12-12-2024,0,78,47,40098,13291,8532,11097,9411,35779,26482,8530
13:18:49 12-12-2024,0,80,48,16725,27906,22250,8212,2218,13437,7230,5580
13:18:50 12-12-2024,0,81,44,4637,5522,2024,3609,5985,19981,12215,8518
13:18:51 12-12-2024,0,53,43,43130,124732,17759,15323,16907,13540,12316,5751
13:18:52 12-12-2024,0,50,38,6346,13029,3872,5879,13690,14999,6649,3022
13:18:53 12-12-2024,0,43,38,9818,32525,28043,21070,20708,9140,16272,6763
13:18:54 12-12-2024,0,30,54,12482,4871,19963,4052,8434,15599,11943,5338
13:18:55 12-12-2024,0,61,48,2752,7674,1986,3097,2182,28421,23038,12496
13:18:56 12-12-2024,0,57,61,9337,10160,11459,16055,5707,18994,6218,8426
13:18:57 12-12-2024,0,78,56,1824,6560,11285,4437,6491,21587,14995,7165
13:18:58 12-12-2024,0,88,47,9217,4611,8259,2095,8507,20674,7919,5893
13:18:59 12-12-2024,0,84,44,49899,14434,2028,3983,11378,29144,36318,16500
13:19:00 12-12-2024,0,77,40,46404,21468,10736,5698,5603,9133,18801,8028
13:19:01 12-12-2024,0,63,43,9090,12136,8732,3615,5579,4697,7141,7240
13:19:02 12-12-2024,0,47,50,12834,21292,12855,10951,5776,10400,5529,9260
13:19:03 12-12-2024,0,30,75,10158,8424,22282,3346,9693,10515,5233,2682
13:19:04 12-12-2024,0,44,64,12212,3037,3055,1505,8672,8166,8643,6841
13:19:05 12-12-2024,0,43,67,13658,18093,4880,19522,7367,6664,6308,3700
13:19:06 12-12-2024,0,43,63,44658,56854,13266,19289,10820,19812,3636,2693
13:19:07 12-12-2024,0,40,56,8477,17342,9949,7617,7071,7444,11965,1980
13:19:08 12-12-2024,0,29,56,67039,9020,3134,704,2450,4353,3263,1336
13:19:09 12-12-2024,0,37,44,32969,38415,9765,4604,6137,15845,13786,4720
13:19:10 12-12-2024,0,30,50,27872,35121,13251,15767,7207,9692,8978,5343
13:19:11 12-12-2024,0,37,47,27560,10023,5630,6464,10982,7256,7249,3918
13:19:12 12-12-2024,0,35,50,12526,16021,3487,4635,5418,6922,5016,3011
13:19:13 12-12-2024,0,51,48,3405,3763,2534,2019,4337,16325,5669,5111
13:19:14 12-12-2024,0,61,35,16685,39224,5868,8244,6396,27374,9304,3802
13:19:15 12-12-2024,0,66,35,4173,15076,10185,3608,3985,15753,5761,5737
13:19:16 12-12-2024,0,75,40,12758,5809,3999,11189,7779,16491,8312,9302
13:19:17 12-12-2024,0,63,48,51798,20354,7774,8042,2098,17325,9409,5827
13:19:18 12-12-2024,0,61,54,10426,14331,8347,2759,5268,10569,9786,3707
13:19:19 12-12-2024,0,54,61,11501,10573,5703,8438,3515,6368,7012,4382
13:19:20 12-12-2024,0,57,57,1957,11201,12143,4905,9331,31109,6244,3959
